	2\pi	\frac{2}{3}\pi	\frac{3}{2}\pi	\frac{5}{2}\pi	\pi
0	0.0	0.0	0.0	0.0	0.0
1	6.28319	2.0944	4.71239	7.85398	3.14159
2	0.254797		0.151291	0.342896	
3	0.01	0.01	0.01	0.01	0.01
4	6.12783	5.79716	5.96737	6.32816	5.85006
5	0.229979	0.213116	0.221846	0.240017	0.215841
6	0.02	0.02	0.02	0.02	0.02
7	6.01319	5.96649	5.99025	6.04256	5.97381
8	0.220463	0.2182	0.219353	0.221883	0.218555
9	0.03	0.03	0.03	0.03	0.03
10	5.87684	5.86962	5.87329	5.88141	5.87075
11	0.212792	0.212445	0.212621	0.213012	0.212499
12	0.04	0.04	0.04	0.04	0.04
13	5.80393	5.8028	5.80338	5.80465	5.80298
14	0.208969	0.208915	0.208942	0.209004	0.208923
15	0.05	0.05	0.05	0.05	0.05
16	5.77416	5.77399	5.77408	5.77428	5.77401
17	0.207444	0.207435	0.207439	0.207449	0.207436
18	0.06	0.06	0.06	0.06	0.06
19	5.76356	5.76353	5.76354	5.76358	5.76353
20	0.206905	0.206904	0.206905	0.206906	0.206904
21	0.07	0.07	0.07	0.07	0.07
22	5.76006	5.76006	5.76006	5.76006	5.76006
23	0.206729	0.206729	0.206729	0.206729	0.206729
24	0.08	0.08	0.08	0.08	0.08
25	5.75896	5.75896	5.75896	5.75896	5.75896
26	0.206673	0.206673	0.206673	0.206673	0.206673
27	0.09	0.09	0.09	0.09	0.09
28	5.75862	5.75862	5.75862	5.75862	5.75862
29	0.206656	0.206656	0.206656	0.206656	0.206656
30	0.1	0.1	0.1	0.1	0.1
31	5.75852	5.75852	5.75852	5.75852	5.75852
32	0.206651	0.206651	0.206651	0.206651	0.206651
33	0.11	0.11	0.11	0.11	0.11
34	5.7585	5.7585	5.7585	5.7585	5.7585
35	0.206651	0.206651	0.206651	0.206651	0.206651
36	0.12	0.12	0.12	0.12	0.12
37	5.7585	5.7585	5.7585	5.7585	5.7585
38	0.206651	0.206651	0.206651	0.206651	0.206651
39	0.13	0.13	0.13	0.13	0.13
40	5.7585	5.7585	5.7585	5.7585	5.7585
41	0.206651	0.206651	0.206651	0.206651	0.206651
42	0.14	0.14	0.14	0.14	0.14
43	5.7585	5.7585	5.7585	5.7585	5.7585
44	0.206651	0.206651	0.206651	0.206651	0.206651
45	0.15	0.15	0.15	0.15	0.15
46	5.7585	5.7585	5.7585	5.7585	5.7585
47	0.206651	0.206651	0.206651	0.206651	0.206651
48	0.16	0.16	0.16	0.16	0.16
49	5.7585	5.7585	5.7585	5.7585	5.7585
50	0.206651	0.206651	0.206651	0.206651	0.206651
51	0.17	0.17	0.17	0.17	0.17
52	5.7585	5.7585	5.7585	5.7585	5.7585
53	0.206651	0.206651	0.206651	0.206651	0.206651
54	0.18	0.18	0.18	0.18	0.18
55	5.7585	5.7585	5.7585	5.7585	5.7585
56	0.206651	0.206651	0.206651	0.206651	0.206651
57	0.19	0.19	0.19	0.19	0.19
58	5.7585	5.7585	5.7585	5.7585	5.7585
59	0.206651	0.206651	0.206651	0.206651	0.206651
60	0.2	0.2	0.2	0.2	0.2
61	5.7585	5.7585	5.7585	5.7585	5.7585
62	0.206651	0.206651	0.206651	0.206651	0.206651
